Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,STOI,PESQ,SI_SDR,DNSMOS_mos_ovr
mband_linear_N16_F20_O25_FL0p001,linear,16,20,25,0.001,1,0.7308,1.6418,8.5928,3.4956
mband_linear_N16_F20_O25_FL0p3,linear,16,20,25,0.3,1,0.7404,1.6713,8.786,3.4547
mband_linear_N16_F20_O25_FL0p5,linear,16,20,25,0.5,1,0.741,1.6861,8.9788,3.5301
mband_linear_N16_F20_O25_FL0p7,linear,16,20,25,0.7,1,0.7389,1.6937,8.9387,3.4399
mband_linear_N16_F20_O25_FL0p8,linear,16,20,25,0.8,1,0.7387,1.709,9.0739,3.4719
mband_linear_N16_F20_O50_FL0p001,linear,16,20,50,0.001,1,0.7394,1.7852,10.2464,3.3753
mband_linear_N16_F20_O50_FL0p3,linear,16,20,50,0.3,1,0.7428,1.8347,10.6115,3.4247
mband_linear_N16_F20_O50_FL0p5,linear,16,20,50,0.5,1,0.746,1.8371,10.6194,3.345
mband_linear_N16_F20_O50_FL0p7,linear,16,20,50,0.7,1,0.7466,1.856,10.6911,3.3652
mband_linear_N16_F20_O50_FL0p8,linear,16,20,50,0.8,1,0.7426,1.853,10.5495,3.3713
mband_linear_N16_F20_O75_FL0p001,linear,16,20,75,0.001,1,0.7393,1.84,10.9654,3.1294
mband_linear_N16_F20_O75_FL0p3,linear,16,20,75,0.3,1,0.7403,1.8896,11.3608,3.2108
mband_linear_N16_F20_O75_FL0p5,linear,16,20,75,0.5,1,0.7463,1.885,11.4163,3.2225
mband_linear_N16_F20_O75_FL0p7,linear,16,20,75,0.7,1,0.7497,1.8756,11.5609,3.1762
mband_linear_N16_F20_O75_FL0p8,linear,16,20,75,0.8,1,0.7452,1.8793,11.8322,3.2421
mband_linear_N16_F25_O25_FL0p001,linear,16,25,25,0.001,1,0.7249,1.5923,7.8048,3.4855
mband_linear_N16_F25_O25_FL0p3,linear,16,25,25,0.3,1,0.7314,1.6383,8.231,3.5113
mband_linear_N16_F25_O25_FL0p5,linear,16,25,25,0.5,1,0.7316,1.6341,8.2422,3.5185
mband_linear_N16_F25_O25_FL0p7,linear,16,25,25,0.7,1,0.7325,1.6468,8.2899,3.4414
mband_linear_N16_F25_O25_FL0p8,linear,16,25,25,0.8,1,0.7334,1.6429,8.3559,3.4267
mband_linear_N16_F25_O50_FL0p001,linear,16,25,50,0.001,1,0.7394,1.766,9.6432,3.373
mband_linear_N16_F25_O50_FL0p3,linear,16,25,50,0.3,1,0.7413,1.8052,10.1043,3.4296
mband_linear_N16_F25_O50_FL0p5,linear,16,25,50,0.5,1,0.7403,1.8144,10.1477,3.4607
mband_linear_N16_F25_O50_FL0p7,linear,16,25,50,0.7,1,0.7439,1.8156,10.2606,3.3978
mband_linear_N16_F25_O50_FL0p8,linear,16,25,50,0.8,1,0.7521,1.8162,10.4739,3.4768
mband_linear_N16_F25_O75_FL0p001,linear,16,25,75,0.001,1,0.7354,1.8284,10.6481,3.2075
mband_linear_N16_F25_O75_FL0p3,linear,16,25,75,0.3,1,0.7464,1.8641,11.1278,3.2262
mband_linear_N16_F25_O75_FL0p5,linear,16,25,75,0.5,1,0.7463,1.8609,11.3888,3.2485
mband_linear_N16_F25_O75_FL0p7,linear,16,25,75,0.7,1,0.7487,1.8966,11.7815,3.344
mband_linear_N16_F25_O75_FL0p8,linear,16,25,75,0.8,1,0.7505,1.8795,11.5608,3.285
mband_linear_N16_F8_O25_FL0p001,linear,16,8,25,0.001,1,0.7311,1.6456,10.2161,3.1329
mband_linear_N16_F8_O25_FL0p3,linear,16,8,25,0.3,1,0.7356,1.7095,10.5463,3.0869
mband_linear_N16_F8_O25_FL0p5,linear,16,8,25,0.5,1,0.7422,1.7315,10.6836,3.2281
mband_linear_N16_F8_O25_FL0p7,linear,16,8,25,0.7,1,0.7434,1.7332,10.6351,3.1446
mband_linear_N16_F8_O25_FL0p8,linear,16,8,25,0.8,1,0.7429,1.7319,10.6727,3.1843
mband_linear_N16_F8_O50_FL0p001,linear,16,8,50,0.001,1,0.7358,1.7787,10.9364,3.2113
mband_linear_N16_F8_O50_FL0p3,linear,16,8,50,0.3,1,0.7445,1.8345,11.4354,3.2205
mband_linear_N16_F8_O50_FL0p5,linear,16,8,50,0.5,1,0.7437,1.8531,11.4694,3.2365
mband_linear_N16_F8_O50_FL0p7,linear,16,8,50,0.7,1,0.7433,1.861,11.3799,3.2825
mband_linear_N16_F8_O50_FL0p8,linear,16,8,50,0.8,1,0.7458,1.8494,11.4002,3.2013
mband_linear_N16_F8_O75_FL0p001,linear,16,8,75,0.001,1,0.7373,1.8203,11.4434,3.1588
mband_linear_N16_F8_O75_FL0p3,linear,16,8,75,0.3,1,0.7432,1.8629,11.7336,3.1125
mband_linear_N16_F8_O75_FL0p5,linear,16,8,75,0.5,1,0.744,1.8627,11.7769,3.1373
mband_linear_N16_F8_O75_FL0p7,linear,16,8,75,0.7,1,0.7458,1.8618,11.5659,3.1057
mband_linear_N16_F8_O75_FL0p8,linear,16,8,75,0.8,1,0.7469,1.862,11.9433,3.1665
mband_linear_N4_F20_O25_FL0p001,linear,4,20,25,0.001,1,0.7288,1.6349,8.4055,3.4888
mband_linear_N4_F20_O25_FL0p3,linear,4,20,25,0.3,1,0.7384,1.6871,8.932,3.552
mband_linear_N4_F20_O25_FL0p5,linear,4,20,25,0.5,1,0.734,1.6898,9.0016,3.5441
mband_linear_N4_F20_O25_FL0p7,linear,4,20,25,0.7,1,0.7329,1.7065,8.9044,3.435
mband_linear_N4_F20_O25_FL0p8,linear,4,20,25,0.8,1,0.7401,1.7118,9.1191,3.4771
mband_linear_N4_F20_O50_FL0p001,linear,4,20,50,0.001,1,0.7356,1.7963,10.143,3.4293
mband_linear_N4_F20_O50_FL0p3,linear,4,20,50,0.3,1,0.7435,1.8315,10.489,3.498
mband_linear_N4_F20_O50_FL0p5,linear,4,20,50,0.5,1,0.7392,1.8567,10.6131,3.4027
mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,1,0.7499,1.8745,10.8345,3.4076
mband_linear_N4_F20_O50_FL0p8,linear,4,20,50,0.8,1,0.7452,1.8494,10.6051,3.4517
mband_linear_N4_F20_O75_FL0p001,linear,4,20,75,0.001,1,0.7456,1.8511,10.8731,3.1269
mband_linear_N4_F20_O75_FL0p3,linear,4,20,75,0.3,1,0.7505,1.8929,11.5853,3.2231
mband_linear_N4_F20_O75_FL0p5,linear,4,20,75,0.5,1,0.7519,1.8981,11.6282,3.2361
mband_linear_N4_F20_O75_FL0p7,linear,4,20,75,0.7,1,0.7485,1.9028,11.9557,3.2562
mband_linear_N4_F20_O75_FL0p8,linear,4,20,75,0.8,1,0.7505,1.8981,11.6947,3.2245
mband_linear_N4_F25_O25_FL0p001,linear,4,25,25,0.001,1,0.7283,1.5961,7.9259,3.3931
mband_linear_N4_F25_O25_FL0p3,linear,4,25,25,0.3,1,0.7312,1.624,8.1569,3.5011
mband_linear_N4_F25_O25_FL0p5,linear,4,25,25,0.5,1,0.7344,1.6345,8.3298,3.5178
mband_linear_N4_F25_O25_FL0p7,linear,4,25,25,0.7,1,0.7337,1.6474,8.4113,3.4998
mband_linear_N4_F25_O25_FL0p8,linear,4,25,25,0.8,1,0.7334,1.657,8.4081,3.5003
mband_linear_N4_F25_O50_FL0p001,linear,4,25,50,0.001,1,0.7338,1.7654,9.7375,3.4305
mband_linear_N4_F25_O50_FL0p3,linear,4,25,50,0.3,1,0.7387,1.7848,9.9505,3.4493
mband_linear_N4_F25_O50_FL0p5,linear,4,25,50,0.5,1,0.7395,1.8115,10.1876,3.4214
mband_linear_N4_F25_O50_FL0p7,linear,4,25,50,0.7,1,0.7451,1.8099,10.1453,3.4135
mband_linear_N4_F25_O50_FL0p8,linear,4,25,50,0.8,1,0.7439,1.808,10.3398,3.4086
mband_linear_N4_F25_O75_FL0p001,linear,4,25,75,0.001,1,0.7353,1.8418,10.848,3.1761
mband_linear_N4_F25_O75_FL0p3,linear,4,25,75,0.3,1,0.7457,1.8654,11.272,3.2474
mband_linear_N4_F25_O75_FL0p5,linear,4,25,75,0.5,1,0.7461,1.8622,11.5055,3.2876
mband_linear_N4_F25_O75_FL0p7,linear,4,25,75,0.7,1,0.7475,1.8748,11.4584,3.1782
mband_linear_N4_F25_O75_FL0p8,linear,4,25,75,0.8,1,0.7489,1.8717,11.5247,3.2271
mband_linear_N4_F8_O25_FL0p001,linear,4,8,25,0.001,1,0.7347,1.6518,10.1204,3.2054
mband_linear_N4_F8_O25_FL0p3,linear,4,8,25,0.3,1,0.7351,1.7066,10.3853,3.112
mband_linear_N4_F8_O25_FL0p5,linear,4,8,25,0.5,1,0.7442,1.7245,10.6743,3.1282
mband_linear_N4_F8_O25_FL0p7,linear,4,8,25,0.7,1,0.7376,1.7187,10.6163,3.093
mband_linear_N4_F8_O25_FL0p8,linear,4,8,25,0.8,1,0.7441,1.7222,10.7439,3.1699
mband_linear_N4_F8_O50_FL0p001,linear,4,8,50,0.001,1,0.7311,1.8,10.9915,3.2387
mband_linear_N4_F8_O50_FL0p3,linear,4,8,50,0.3,1,0.7382,1.848,11.2312,3.1585
mband_linear_N4_F8_O50_FL0p5,linear,4,8,50,0.5,1,0.7401,1.842,11.2121,3.1944
mband_linear_N4_F8_O50_FL0p7,linear,4,8,50,0.7,1,0.7391,1.8437,11.2778,3.2094
mband_linear_N4_F8_O50_FL0p8,linear,4,8,50,0.8,1,0.7419,1.8646,11.6499,3.1514
mband_linear_N4_F8_O75_FL0p001,linear,4,8,75,0.001,1,0.7335,1.833,11.3262,3.1525
mband_linear_N4_F8_O75_FL0p3,linear,4,8,75,0.3,1,0.7441,1.8804,11.7773,3.096
mband_linear_N4_F8_O75_FL0p5,linear,4,8,75,0.5,1,0.7444,1.8755,11.7181,3.1911
mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,0.747,1.8738,11.9622,3.1816
mband_linear_N4_F8_O75_FL0p8,linear,4,8,75,0.8,1,0.7447,1.8848,11.9333,3.1471
mband_linear_N8_F20_O25_FL0p001,linear,8,20,25,0.001,1,0.7276,1.6397,8.6428,3.4675
mband_linear_N8_F20_O25_FL0p3,linear,8,20,25,0.3,1,0.7378,1.6835,8.9473,3.467
mband_linear_N8_F20_O25_FL0p5,linear,8,20,25,0.5,1,0.7398,1.6954,8.9466,3.3936
mband_linear_N8_F20_O25_FL0p7,linear,8,20,25,0.7,1,0.7356,1.6967,8.9668,3.3928
mband_linear_N8_F20_O25_FL0p8,linear,8,20,25,0.8,1,0.7409,1.7045,9.0373,3.4279
mband_linear_N8_F20_O50_FL0p001,linear,8,20,50,0.001,1,0.7381,1.803,9.9651,3.3711
mband_linear_N8_F20_O50_FL0p3,linear,8,20,50,0.3,1,0.7454,1.8284,10.5949,3.3914
mband_linear_N8_F20_O50_FL0p5,linear,8,20,50,0.5,1,0.7407,1.8437,10.6467,3.4522
mband_linear_N8_F20_O50_FL0p7,linear,8,20,50,0.7,1,0.7414,1.8507,10.63,3.3838
mband_linear_N8_F20_O50_FL0p8,linear,8,20,50,0.8,1,0.746,1.8489,10.639,3.398
mband_linear_N8_F20_O75_FL0p001,linear,8,20,75,0.001,1,0.741,1.8451,10.9551,3.1291
mband_linear_N8_F20_O75_FL0p3,linear,8,20,75,0.3,1,0.7468,1.8782,11.5718,3.2201
mband_linear_N8_F20_O75_FL0p5,linear,8,20,75,0.5,1,0.7445,1.8881,11.7241,3.1555
mband_linear_N8_F20_O75_FL0p7,linear,8,20,75,0.7,1,0.751,1.9012,11.724,3.2125
mband_linear_N8_F20_O75_FL0p8,linear,8,20,75,0.8,1,0.7471,1.8991,11.7232,3.1688
mband_linear_N8_F25_O25_FL0p001,linear,8,25,25,0.001,1,0.7242,1.5867,8.0323,3.5343
mband_linear_N8_F25_O25_FL0p3,linear,8,25,25,0.3,1,0.7316,1.6299,8.1082,3.5244
mband_linear_N8_F25_O25_FL0p5,linear,8,25,25,0.5,1,0.7299,1.641,8.211,3.4351
mband_linear_N8_F25_O25_FL0p7,linear,8,25,25,0.7,1,0.7332,1.6414,8.3325,3.4785
mband_linear_N8_F25_O25_FL0p8,linear,8,25,25,0.8,1,0.7368,1.6583,8.3841,3.4569
mband_linear_N8_F25_O50_FL0p001,linear,8,25,50,0.001,1,0.7321,1.7424,9.6224,3.4161
mband_linear_N8_F25_O50_FL0p3,linear,8,25,50,0.3,1,0.742,1.8014,10.0793,3.4229
mband_linear_N8_F25_O50_FL0p5,linear,8,25,50,0.5,1,0.7407,1.8135,10.1964,3.3849
mband_linear_N8_F25_O50_FL0p7,linear,8,25,50,0.7,1,0.7462,1.7991,10.2206,3.3649
mband_linear_N8_F25_O50_FL0p8,linear,8,25,50,0.8,1,0.7452,1.8304,10.5011,3.4507
mband_linear_N8_F25_O75_FL0p001,linear,8,25,75,0.001,1,0.737,1.8341,10.6985,3.1781
mband_linear_N8_F25_O75_FL0p3,linear,8,25,75,0.3,1,0.7491,1.8855,11.2824,3.2921
mband_linear_N8_F25_O75_FL0p5,linear,8,25,75,0.5,1,0.7466,1.8638,11.4848,3.2859
mband_linear_N8_F25_O75_FL0p7,linear,8,25,75,0.7,1,0.7425,1.8889,11.5492,3.2586
mband_linear_N8_F25_O75_FL0p8,linear,8,25,75,0.8,1,0.7449,1.8627,11.4798,3.2272
mband_linear_N8_F8_O25_FL0p001,linear,8,8,25,0.001,1,0.7261,1.6509,9.8961,3.1712
mband_linear_N8_F8_O25_FL0p3,linear,8,8,25,0.3,1,0.7404,1.6978,10.2101,3.1833
mband_linear_N8_F8_O25_FL0p5,linear,8,8,25,0.5,1,0.7411,1.7219,10.5622,3.1207
mband_linear_N8_F8_O25_FL0p7,linear,8,8,25,0.7,1,0.7424,1.7308,10.698,3.1826
mband_linear_N8_F8_O25_FL0p8,linear,8,8,25,0.8,1,0.7456,1.7328,10.9465,3.2161
mband_linear_N8_F8_O50_FL0p001,linear,8,8,50,0.001,1,0.7287,1.7764,10.8963,3.209
mband_linear_N8_F8_O50_FL0p3,linear,8,8,50,0.3,1,0.7391,1.8217,11.0225,3.2562
mband_linear_N8_F8_O50_FL0p5,linear,8,8,50,0.5,1,0.7411,1.84,11.2638,3.1818
mband_linear_N8_F8_O50_FL0p7,linear,8,8,50,0.7,1,0.7449,1.8338,11.3377,3.169
mband_linear_N8_F8_O50_FL0p8,linear,8,8,50,0.8,1,0.7462,1.8417,11.4727,3.1959
mband_linear_N8_F8_O75_FL0p001,linear,8,8,75,0.001,1,0.7414,1.838,11.565,3.152
mband_linear_N8_F8_O75_FL0p3,linear,8,8,75,0.3,1,0.7463,1.8607,11.9294,3.1597
mband_linear_N8_F8_O75_FL0p5,linear,8,8,75,0.5,1,0.7405,1.8667,11.6928,3.1041
mband_linear_N8_F8_O75_FL0p7,linear,8,8,75,0.7,1,0.7416,1.8581,11.7319,3.119
mband_linear_N8_F8_O75_FL0p8,linear,8,8,75,0.8,1,0.7419,1.8706,11.7002,3.1626
mband_log_N16_F20_O25_FL0p001,log,16,20,25,0.001,1,0.7316,1.6606,8.475,3.4536
mband_log_N16_F20_O25_FL0p3,log,16,20,25,0.3,1,0.7357,1.6888,8.8888,3.3677
mband_log_N16_F20_O25_FL0p5,log,16,20,25,0.5,1,0.7416,1.7082,8.8766,3.4548
mband_log_N16_F20_O25_FL0p7,log,16,20,25,0.7,1,0.7427,1.7134,9.041,3.3927
mband_log_N16_F20_O25_FL0p8,log,16,20,25,0.8,1,0.7369,1.706,9.0271,3.4264
mband_log_N16_F20_O50_FL0p001,log,16,20,50,0.001,1,0.7362,1.792,9.8131,3.4118
mband_log_N16_F20_O50_FL0p3,log,16,20,50,0.3,1,0.7445,1.8327,10.4094,3.3546
mband_log_N16_F20_O50_FL0p5,log,16,20,50,0.5,1,0.7424,1.8392,10.5442,3.4626
mband_log_N16_F20_O50_FL0p7,log,16,20,50,0.7,1,0.7437,1.8443,10.7234,3.5325
mband_log_N16_F20_O50_FL0p8,log,16,20,50,0.8,1,0.75,1.867,10.7663,3.4681
mband_log_N16_F20_O75_FL0p001,log,16,20,75,0.001,1,0.7421,1.8381,10.6894,3.1809
mband_log_N16_F20_O75_FL0p3,log,16,20,75,0.3,1,0.747,1.8718,11.4225,3.191
mband_log_N16_F20_O75_FL0p5,log,16,20,75,0.5,1,0.7431,1.8819,11.6069,3.1634
mband_log_N16_F20_O75_FL0p7,log,16,20,75,0.7,1,0.7439,1.8923,11.7129,3.1893
mband_log_N16_F20_O75_FL0p8,log,16,20,75,0.8,1,0.7473,1.8798,11.5509,3.2548
mband_log_N16_F25_O25_FL0p001,log,16,25,25,0.001,1,0.7246,1.5972,7.8608,3.5129
mband_log_N16_F25_O25_FL0p3,log,16,25,25,0.3,1,0.7317,1.6337,8.1554,3.5042
mband_log_N16_F25_O25_FL0p5,log,16,25,25,0.5,1,0.7331,1.6426,8.2732,3.484
mband_log_N16_F25_O25_FL0p7,log,16,25,25,0.7,1,0.7362,1.6526,8.2897,3.5093
mband_log_N16_F25_O25_FL0p8,log,16,25,25,0.8,1,0.7361,1.6461,8.3897,3.4062
mband_log_N16_F25_O50_FL0p001,log,16,25,50,0.001,1,0.7325,1.7728,9.3818,3.5514
mband_log_N16_F25_O50_FL0p3,log,16,25,50,0.3,1,0.7418,1.7993,9.9958,3.4186
mband_log_N16_F25_O50_FL0p5,log,16,25,50,0.5,1,0.7456,1.8271,10.1034,3.5595
mband_log_N16_F25_O50_FL0p7,log,16,25,50,0.7,1,0.7397,1.802,10.2504,3.4648
mband_log_N16_F25_O50_FL0p8,log,16,25,50,0.8,1,0.7455,1.7994,10.3749,3.4193
mband_log_N16_F25_O75_FL0p001,log,16,25,75,0.001,1,0.741,1.8459,10.5333,3.2494
mband_log_N16_F25_O75_FL0p3,log,16,25,75,0.3,1,0.7384,1.8573,11.0801,3.1891
mband_log_N16_F25_O75_FL0p5,log,16,25,75,0.5,1,0.7467,1.8824,11.4262,3.2558
mband_log_N16_F25_O75_FL0p7,log,16,25,75,0.7,1,0.7461,1.8932,11.4339,3.2783
mband_log_N16_F25_O75_FL0p8,log,16,25,75,0.8,1,0.7463,1.89,11.6493,3.2742
mband_log_N16_F8_O25_FL0p001,log,16,8,25,0.001,1,0.7326,1.6438,9.9173,3.1499
mband_log_N16_F8_O25_FL0p3,log,16,8,25,0.3,1,0.7366,1.7242,10.4152,3.159
mband_log_N16_F8_O25_FL0p5,log,16,8,25,0.5,1,0.7439,1.7255,10.5724,3.1618
mband_log_N16_F8_O25_FL0p7,log,16,8,25,0.7,1,0.7471,1.7349,10.8306,3.1831
mband_log_N16_F8_O25_FL0p8,log,16,8,25,0.8,1,0.7461,1.7338,10.6635,3.1305
mband_log_N16_F8_O50_FL0p001,log,16,8,50,0.001,1,0.731,1.7715,10.5786,3.2018
mband_log_N16_F8_O50_FL0p3,log,16,8,50,0.3,1,0.7441,1.8461,11.2585,3.2819
mband_log_N16_F8_O50_FL0p5,log,16,8,50,0.5,1,0.7445,1.8374,11.225,3.1483
mband_log_N16_F8_O50_FL0p7,log,16,8,50,0.7,1,0.7461,1.8554,11.3762,3.2004
mband_log_N16_F8_O50_FL0p8,log,16,8,50,0.8,1,0.7451,1.8671,11.5203,3.1775
mband_log_N16_F8_O75_FL0p001,log,16,8,75,0.001,1,0.7363,1.8219,11.064,3.1797
mband_log_N16_F8_O75_FL0p3,log,16,8,75,0.3,1,0.7406,1.856,11.3813,3.1276
mband_log_N16_F8_O75_FL0p5,log,16,8,75,0.5,1,0.7419,1.854,11.6646,3.1556
mband_log_N16_F8_O75_FL0p7,log,16,8,75,0.7,1,0.7461,1.8758,12.0466,3.1512
mband_log_N16_F8_O75_FL0p8,log,16,8,75,0.8,1,0.7495,1.8818,11.945,3.1951
mband_log_N4_F20_O25_FL0p001,log,4,20,25,0.001,1,0.7265,1.6546,8.4383,3.5195
mband_log_N4_F20_O25_FL0p3,log,4,20,25,0.3,1,0.7343,1.6974,8.9241,3.5257
mband_log_N4_F20_O25_FL0p5,log,4,20,25,0.5,1,0.7349,1.6944,8.8689,3.4331
mband_log_N4_F20_O25_FL0p7,log,4,20,25,0.7,1,0.736,1.7031,9.0056,3.4709
mband_log_N4_F20_O25_FL0p8,log,4,20,25,0.8,1,0.7336,1.7035,8.9605,3.4735
mband_log_N4_F20_O50_FL0p001,log,4,20,50,0.001,1,0.7386,1.8007,9.8868,3.4297
mband_log_N4_F20_O50_FL0p3,log,4,20,50,0.3,1,0.7421,1.8409,10.346,3.4362
mband_log_N4_F20_O50_FL0p5,log,4,20,50,0.5,1,0.7477,1.856,10.6921,3.4744
mband_log_N4_F20_O50_FL0p7,log,4,20,50,0.7,1,0.741,1.8353,10.6402,3.4212
mband_log_N4_F20_O50_FL0p8,log,4,20,50,0.8,1,0.7409,1.8482,10.4429,3.3629
mband_log_N4_F20_O75_FL0p001,log,4,20,75,0.001,1,0.7333,1.8565,10.5928,3.1645
mband_log_N4_F20_O75_FL0p3,log,4,20,75,0.3,1,0.742,1.8779,11.2852,3.197
mband_log_N4_F20_O75_FL0p5,log,4,20,75,0.5,1,0.7536,1.9009,11.5512,3.1903
mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,0.7534,1.9056,11.7155,3.2837
mband_log_N4_F20_O75_FL0p8,log,4,20,75,0.8,1,0.7488,1.8905,11.7541,3.2118
